,Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR
0,Felidar Retreat,W,R,918.0,1.26,737.0,1.23,4104.0,0.55,668.0,0.591,1061.0,0.615,1718.0,0.605,2355.0,0.508
1,"Drana, the Last Bloodchief",B,M,437.0,1.3,356.0,1.27,1919.0,0.549,330.0,0.579,528.0,0.61,832.0,0.593,1072.0,0.518
2,Maul of the Skyclaves,W,R,1020.0,1.4,719.0,1.38,3843.0,0.573,658.0,0.629,953.0,0.601,1602.0,0.612,2160.0,0.543
3,Nighthawk Scavenger,B,R,977.0,1.44,653.0,1.39,3671.0,0.572,656.0,0.627,1067.0,0.628,1608.0,0.627,2025.0,0.528
4,Leyline Tyrant,R,M,519.0,1.43,369.0,1.41,1957.0,0.573,324.0,0.639,522.0,0.626,814.0,0.631,1104.0,0.534
5,"Ashaya, Soul of the Wild",G,M,500.0,1.43,304.0,1.45,1381.0,0.531,219.0,0.557,382.0,0.599,586.0,0.589,789.0,0.49
6,"Jace, Mirror Mage",U,M,501.0,1.46,352.0,1.48,1686.0,0.517,291.0,0.495,492.0,0.533,777.0,0.519,888.0,0.511
7,Luminarch Aspirant,W,R,1007.0,1.51,683.0,1.48,3873.0,0.583,681.0,0.74,1024.0,0.614,1647.0,0.663,2178.0,0.524
8,Scute Swarm,G,R,1053.0,1.59,605.0,1.51,2919.0,0.524,510.0,0.563,794.0,0.569,1279.0,0.567,1587.0,0.491
9,"Moraug, Fury of Akoum",R,M,504.0,1.61,336.0,1.52,1672.0,0.538,239.0,0.594,466.0,0.543,690.0,0.561,942.0,0.519
10,"Taborax, Hope's Demise",B,R,1075.0,1.55,682.0,1.53,3543.0,0.544,619.0,0.593,957.0,0.565,1496.0,0.579,2019.0,0.518
11,Nullpriest of Oblivion,B,R,1085.0,1.58,724.0,1.55,3788.0,0.563,689.0,0.591,1071.0,0.613,1688.0,0.603,2050.0,0.53
12,Emeria's Call,W,M,561.0,1.63,333.0,1.56,1481.0,0.525,255.0,0.545,398.0,0.588,625.0,0.566,818.0,0.489
13,Angel of Destiny,W,M,539.0,1.62,321.0,1.58,1418.0,0.546,221.0,0.57,392.0,0.612,576.0,0.602,807.0,0.509
14,"Tazri, Beacon of Unity",WUBRG,M,578.0,1.65,356.0,1.59,1778.0,0.557,294.0,0.595,498.0,0.58,763.0,0.582,985.0,0.538
15,Inscription of Abundance,G,R,1146.0,1.69,603.0,1.68,2932.0,0.547,501.0,0.567,870.0,0.634,1283.0,0.602,1611.0,0.503
16,Skyclave Shade,B,R,1140.0,1.73,721.0,1.68,3744.0,0.559,698.0,0.585,996.0,0.565,1662.0,0.573,2049.0,0.548
17,"Phylath, World Sculptor",RG,R,1187.0,1.76,685.0,1.69,3277.0,0.553,557.0,0.627,866.0,0.612,1402.0,0.616,1840.0,0.506
18,"Zagras, Thief of Heartbeats",BR,R,1181.0,1.87,773.0,1.73,3937.0,0.572,680.0,0.647,1032.0,0.659,1655.0,0.656,2258.0,0.51
19,"Zareth San, the Trickster",UB,R,1261.0,1.86,784.0,1.73,3647.0,0.537,641.0,0.602,1111.0,0.58,1688.0,0.584,1921.0,0.493
20,Hagra Mauling,B,R,1292.0,1.76,771.0,1.76,3846.0,0.544,680.0,0.519,988.0,0.564,1620.0,0.542,2186.0,0.547
21,Inscription of Ruin,B,R,1163.0,1.74,661.0,1.8,3415.0,0.555,575.0,0.577,861.0,0.575,1407.0,0.576,1970.0,0.54
22,Agadeem's Awakening,B,M,582.0,1.81,351.0,1.83,1640.0,0.536,251.0,0.538,459.0,0.553,695.0,0.544,930.0,0.531
23,Squad Commander,W,R,1307.0,1.88,736.0,1.83,3863.0,0.578,626.0,0.647,997.0,0.639,1602.0,0.64,2181.0,0.533
24,Oran-Rief Ooze,G,R,1209.0,1.83,512.0,1.86,2421.0,0.538,446.0,0.581,665.0,0.558,1064.0,0.568,1327.0,0.514
25,Kazandu Mammoth,G,R,1260.0,1.87,546.0,1.86,2525.0,0.525,481.0,0.555,710.0,0.551,1139.0,0.55,1348.0,0.504
26,Inscription of Insight,U,R,1300.0,1.87,816.0,1.92,4381.0,0.557,672.0,0.564,1445.0,0.639,2031.0,0.612,2294.0,0.511
27,Skyclave Apparition,W,R,1277.0,1.92,559.0,1.92,2607.0,0.558,442.0,0.557,651.0,0.587,1074.0,0.577,1511.0,0.545
28,Shatterskull Smashing,R,M,633.0,1.93,383.0,1.96,1981.0,0.552,345.0,0.548,509.0,0.552,810.0,0.544,1117.0,0.556
29,Shatterskull Charger,R,R,1441.0,2.04,754.0,2.03,3971.0,0.575,653.0,0.596,1171.0,0.58,1546.0,0.587,2380.0,0.567
30,Soul Shatter,B,R,1350.0,1.97,668.0,2.04,3265.0,0.548,569.0,0.517,826.0,0.581,1381.0,0.555,1833.0,0.544
31,Kargan Intimidator,R,R,1384.0,2.03,736.0,2.05,3924.0,0.574,704.0,0.656,899.0,0.568,1568.0,0.61,2298.0,0.55
32,Lotus Cobra,G,R,1442.0,2.01,509.0,2.1,2298.0,0.526,406.0,0.616,589.0,0.482,981.0,0.535,1276.0,0.518
33,Master of Winds,U,R,1437.0,2.15,836.0,2.15,4471.0,0.559,758.0,0.606,1343.0,0.639,2055.0,0.626,2358.0,0.501
34,Glasspool Mimic,U,R,1496.0,2.06,766.0,2.15,3913.0,0.537,741.0,0.552,1143.0,0.571,1826.0,0.562,2060.0,0.515
35,Legion Angel,W,R,1483.0,2.17,652.0,2.23,3132.0,0.546,505.0,0.574,804.0,0.542,1266.0,0.557,1837.0,0.541
36,Relic Robber,R,R,1522.0,2.17,690.0,2.23,3619.0,0.558,662.0,0.6,852.0,0.577,1493.0,0.587,2085.0,0.54
37,Tajuru Paragon,G,R,1535.0,2.22,544.0,2.25,2518.0,0.53,435.0,0.579,688.0,0.549,1089.0,0.557,1401.0,0.51
38,"Charix, the Raging Isle",U,R,1597.0,2.26,817.0,2.25,3913.0,0.525,633.0,0.524,1219.0,0.523,1819.0,0.526,2069.0,0.527
39,"Orah, Skyclave Hierophant",WB,R,1614.0,2.41,651.0,2.27,2725.0,0.549,493.0,0.582,816.0,0.597,1227.0,0.591,1478.0,0.514
40,Cragplate Baloth,G,R,1498.0,2.2,420.0,2.29,1834.0,0.521,263.0,0.452,518.0,0.535,776.0,0.506,1033.0,0.532
41,Bloodchief's Thirst,B,U,4339.0,2.13,2224.0,2.3,10388.0,0.545,1979.0,0.545,2852.0,0.568,4651.0,0.561,5545.0,0.53
42,Swarm Shambler,G,R,1523.0,2.14,447.0,2.33,1937.0,0.51,338.0,0.595,557.0,0.501,858.0,0.537,1067.0,0.488
43,Roost of Drakes,U,U,4864.0,2.41,3051.0,2.44,13523.0,0.548,2863.0,0.602,4567.0,0.618,7099.0,0.606,6191.0,0.481
44,Magmatic Channeler,R,R,1553.0,2.35,780.0,2.46,3934.0,0.564,726.0,0.594,989.0,0.559,1679.0,0.575,2180.0,0.556
45,"Verazol, the Split Current",UG,R,1741.0,2.52,753.0,2.52,2960.0,0.517,518.0,0.533,874.0,0.563,1346.0,0.552,1582.0,0.491
46,Thieving Skydiver,U,R,1697.0,2.43,779.0,2.58,3838.0,0.536,672.0,0.551,1207.0,0.586,1848.0,0.573,1949.0,0.503
47,"Grakmaw, Skyclave Ravager",BG,R,1618.0,2.61,481.0,2.78,1726.0,0.532,316.0,0.595,488.0,0.561,772.0,0.567,934.0,0.499
48,Thundering Rebuke,R,U,5391.0,2.58,2549.0,2.79,11966.0,0.556,2309.0,0.571,3282.0,0.577,5340.0,0.574,6469.0,0.542
49,Coralhelm Chronicler,U,R,1968.0,2.67,777.0,2.85,3625.0,0.532,629.0,0.555,1080.0,0.58,1675.0,0.573,1912.0,0.495
50,Journey to Oblivion,W,U,5380.0,2.56,1906.0,2.88,8634.0,0.55,1531.0,0.545,2424.0,0.566,3836.0,0.559,4680.0,0.543
51,Archpriest of Iona,W,R,1760.0,2.56,568.0,2.93,2624.0,0.567,452.0,0.606,695.0,0.564,1132.0,0.58,1453.0,0.559
52,Fearless Fledgling,W,U,5462.0,2.72,1845.0,3.0,8193.0,0.558,1656.0,0.64,2329.0,0.559,3761.0,0.593,4294.0,0.525
53,Roil Eruption,R,C,16482.0,2.8,8176.0,3.11,29430.0,0.551,7073.0,0.562,10106.0,0.576,15353.0,0.569,13660.0,0.531
54,Deadly Alliance,B,C,16155.0,2.76,6679.0,3.13,26307.0,0.548,5466.0,0.543,8536.0,0.572,12972.0,0.561,12981.0,0.535
55,Ruin Crab,U,U,5697.0,2.89,2107.0,3.14,8488.0,0.554,1752.0,0.654,2830.0,0.573,4283.0,0.597,4083.0,0.508
56,Valakut Exploration,R,R,1874.0,2.92,613.0,3.17,2634.0,0.535,423.0,0.454,635.0,0.546,1054.0,0.51,1557.0,0.552
57,"Akiri, Fearless Voyager",WR,R,1964.0,3.11,610.0,3.19,2286.0,0.563,390.0,0.587,503.0,0.586,873.0,0.589,1382.0,0.545
58,"Linvala, Shield of Sea Gate",WU,R,2032.0,2.99,590.0,3.22,1872.0,0.539,364.0,0.582,602.0,0.62,940.0,0.602,903.0,0.475
59,Nimble Trapfinder,U,R,2028.0,2.91,720.0,3.25,3096.0,0.524,555.0,0.499,874.0,0.54,1398.0,0.524,1661.0,0.523
60,Attended Healer,W,U,6288.0,3.0,2071.0,3.28,7983.0,0.546,1607.0,0.578,2422.0,0.585,3756.0,0.581,4132.0,0.515
61,Thwart the Grave,B,U,6436.0,3.02,2751.0,3.3,12572.0,0.559,2126.0,0.544,3456.0,0.598,5446.0,0.576,6943.0,0.547
62,Lullmage's Domination,U,U,6342.0,3.04,2663.0,3.33,11770.0,0.547,2040.0,0.541,4218.0,0.596,5886.0,0.575,5748.0,0.518
63,Merfolk Falconer,U,U,6554.0,3.08,2555.0,3.39,11464.0,0.532,2056.0,0.526,3854.0,0.567,5557.0,0.554,5748.0,0.51
64,Emeria Captain,W,U,6504.0,3.0,2078.0,3.5,9198.0,0.552,1762.0,0.557,2653.0,0.56,4155.0,0.56,4909.0,0.546
65,Cleric of Life's Bond,WB,U,6692.0,3.39,2079.0,3.64,7344.0,0.56,1613.0,0.646,2477.0,0.598,3671.0,0.612,3574.0,0.507
66,Soaring Thought-Thief,UB,U,6798.0,3.47,2111.0,3.76,7220.0,0.564,1616.0,0.655,2598.0,0.626,3821.0,0.629,3312.0,0.493
67,Blackbloom Rogue,B,U,7798.0,3.18,2688.0,3.82,13184.0,0.552,2609.0,0.545,3581.0,0.567,5861.0,0.561,7165.0,0.544
68,Into the Roil,U,C,20935.0,3.42,8693.0,3.94,29844.0,0.534,7320.0,0.536,12246.0,0.577,17037.0,0.559,12413.0,0.5
69,Thundering Sparkmage,R,U,7604.0,3.44,2742.0,3.99,11628.0,0.561,2196.0,0.592,3218.0,0.572,5170.0,0.58,6259.0,0.545
70,Rockslide Sorcerer,R,U,7721.0,3.67,2859.0,4.0,10832.0,0.535,2210.0,0.551,3457.0,0.546,5293.0,0.549,5413.0,0.522
71,Bubble Snare,U,C,20180.0,3.34,7004.0,4.01,25756.0,0.535,5841.0,0.521,9576.0,0.571,14154.0,0.554,11219.0,0.512
72,Archon of Emeria,W,R,2209.0,3.11,390.0,4.03,1232.0,0.498,207.0,0.512,307.0,0.511,498.0,0.512,704.0,0.484
73,Kabira Takedown,W,U,8409.0,3.32,2500.0,4.04,11663.0,0.551,2219.0,0.566,3217.0,0.567,5149.0,0.566,6380.0,0.538
74,Vine Gecko,G,U,7527.0,3.6,2196.0,4.08,8145.0,0.529,1812.0,0.595,2728.0,0.556,4166.0,0.563,3851.0,0.491
75,Acquisitions Expert,B,U,7417.0,3.36,2343.0,4.11,10804.0,0.558,2129.0,0.601,3043.0,0.574,4903.0,0.584,5784.0,0.536
76,Scion of the Swarm,B,U,7589.0,3.5,1824.0,4.13,6834.0,0.525,1290.0,0.538,2136.0,0.549,3189.0,0.545,3563.0,0.506
77,Khalni Ambush,G,U,8411.0,3.34,1925.0,4.15,8621.0,0.519,1599.0,0.514,2550.0,0.521,3872.0,0.518,4593.0,0.519
78,Murasa Sproutling,G,U,7745.0,3.59,2166.0,4.19,8301.0,0.527,1663.0,0.53,2695.0,0.558,4100.0,0.546,4129.0,0.509
79,Feed the Swarm,B,C,20771.0,3.46,5886.0,4.21,24277.0,0.541,4940.0,0.549,7228.0,0.551,11548.0,0.551,12464.0,0.534
80,Windrider Wizard,U,U,7950.0,3.62,2377.0,4.3,10456.0,0.529,2063.0,0.55,3483.0,0.549,5265.0,0.549,5077.0,0.51
81,Shatterskull Minotaur,R,U,8117.0,3.72,2696.0,4.32,11808.0,0.564,2105.0,0.6,3281.0,0.553,5119.0,0.571,6513.0,0.557
82,Umara Wizard,U,U,9371.0,3.64,3067.0,4.35,14531.0,0.522,2811.0,0.508,4664.0,0.543,7115.0,0.532,7251.0,0.513
83,Ondu Inversion,W,R,2555.0,3.42,513.0,4.45,1722.0,0.521,315.0,0.517,472.0,0.54,772.0,0.532,919.0,0.514
84,Valakut Awakening,R,R,2738.0,3.6,607.0,4.53,2556.0,0.525,476.0,0.496,657.0,0.482,1098.0,0.486,1430.0,0.555
85,Nahiri's Binding,W,C,21102.0,3.49,3927.0,4.58,14400.0,0.537,2811.0,0.524,4287.0,0.53,6697.0,0.53,7447.0,0.544
86,Clearwater Pathway,UB,R,2788.0,3.48,469.0,4.61,1385.0,0.526,270.0,0.548,359.0,0.526,627.0,0.534,746.0,0.521
87,Vastwood Surge,G,U,7822.0,3.66,1681.0,4.62,7084.0,0.509,1241.0,0.495,2198.0,0.525,3272.0,0.51,3735.0,0.506
88,Vanquish the Weak,B,C,22739.0,3.72,5678.0,4.64,22655.0,0.547,4738.0,0.552,6847.0,0.564,10929.0,0.556,11465.0,0.538
89,Brightclimb Pathway,WB,R,2618.0,3.39,380.0,4.65,1087.0,0.506,209.0,0.531,260.0,0.523,466.0,0.526,600.0,0.49
90,Sure-Footed Infiltrator,U,U,7967.0,3.8,1956.0,4.67,7080.0,0.525,1246.0,0.524,2338.0,0.554,3354.0,0.542,3633.0,0.509
91,Shepherd of Heroes,W,C,23110.0,3.79,6060.0,4.73,21630.0,0.553,4782.0,0.555,7519.0,0.574,11201.0,0.568,10125.0,0.537
92,Goma Fada Vanguard,R,U,8807.0,4.04,2436.0,4.88,10173.0,0.569,2188.0,0.595,2652.0,0.553,4555.0,0.57,5472.0,0.569
93,Rabid Bite,G,C,23430.0,3.9,4337.0,5.13,15211.0,0.527,3332.0,0.524,5313.0,0.558,7843.0,0.544,7143.0,0.508
94,Kargan Warleader,WR,U,8598.0,4.35,2076.0,5.13,6525.0,0.581,1478.0,0.624,1777.0,0.607,3017.0,0.613,3408.0,0.553
95,Needleverge Pathway,WR,R,2871.0,3.71,477.0,5.14,1287.0,0.546,250.0,0.524,268.0,0.463,505.0,0.487,775.0,0.581
96,Shadow Stinger,B,U,8783.0,4.05,1837.0,5.15,7079.0,0.549,1387.0,0.558,2163.0,0.532,3281.0,0.545,3727.0,0.553
97,Sejiri Shelter,W,U,10131.0,3.95,2379.0,5.15,11377.0,0.551,2151.0,0.557,2978.0,0.532,4910.0,0.543,6313.0,0.558
98,Akoum Warrior,R,U,10438.0,4.1,2947.0,5.15,14079.0,0.544,2538.0,0.525,3779.0,0.528,5938.0,0.527,7894.0,0.557
99,Bala Ged Recovery,G,U,10178.0,3.99,2333.0,5.15,9950.0,0.523,1839.0,0.513,3057.0,0.551,4587.0,0.533,5231.0,0.515
100,Veteran Adventurer,G,U,8630.0,4.0,1484.0,5.2,4978.0,0.526,857.0,0.526,1645.0,0.544,2362.0,0.538,2539.0,0.514
101,Riverglide Pathway,UR,R,2936.0,3.7,509.0,5.32,1415.0,0.481,249.0,0.502,406.0,0.49,649.0,0.493,737.0,0.474
102,Tazeem Roilmage,U,C,26996.0,4.31,8431.0,5.35,29249.0,0.533,7001.0,0.504,11380.0,0.554,16480.0,0.536,12359.0,0.529
103,Tangled Florahedron,G,U,10004.0,4.0,1728.0,5.38,7606.0,0.516,1499.0,0.561,1989.0,0.509,3389.0,0.531,4131.0,0.504
104,Kor Blademaster,W,U,9121.0,4.3,1813.0,5.42,6219.0,0.555,1331.0,0.603,1649.0,0.532,2824.0,0.564,3293.0,0.547
105,Cunning Geysermage,U,C,27476.0,4.29,7231.0,5.56,25912.0,0.529,5857.0,0.511,10041.0,0.556,14438.0,0.541,11117.0,0.514
106,"Kaza, Roil Chaser",UR,R,3010.0,4.21,596.0,5.57,1752.0,0.504,310.0,0.526,551.0,0.488,854.0,0.504,870.0,0.505
107,Kor Celebrant,W,C,26314.0,4.42,6009.0,5.57,17246.0,0.539,4503.0,0.557,6372.0,0.554,9536.0,0.555,7499.0,0.521
108,Kazuul's Fury,R,U,11360.0,4.43,2997.0,5.58,14373.0,0.55,2725.0,0.552,3891.0,0.54,6245.0,0.542,7944.0,0.557
109,Roiling Regrowth,G,U,8978.0,4.27,1436.0,5.64,4843.0,0.503,901.0,0.496,1321.0,0.5,2154.0,0.499,2612.0,0.506
110,Lullmage's Familiar,UG,U,9447.0,4.7,2149.0,5.65,6469.0,0.528,1346.0,0.579,2258.0,0.558,3340.0,0.563,3034.0,0.49
