,Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GND,GND WR
111,Malakir Blood-Priest,B,C,27748.0,4.42,6974.0,5.69,24064.0,0.553,5929.0,0.577,8222.0,0.575,12602.0,0.575,11162.0,0.528
112,Spikefield Hazard,R,U,11379.0,4.33,2588.0,5.69,12374.0,0.545,2293.0,0.533,3208.0,0.536,5295.0,0.535,6905.0,0.552
113,Malakir Rebirth,B,U,11175.0,4.28,2443.0,5.73,11706.0,0.537,2162.0,0.53,3088.0,0.519,5101.0,0.522,6483.0,0.548
114,Umara Mystic,UR,U,9996.0,4.97,2483.0,5.75,6990.0,0.519,1543.0,0.548,2644.0,0.551,3834.0,0.551,3061.0,0.481
115,Skyclave Cleric,W,U,10725.0,4.24,2017.0,5.78,9219.0,0.54,1775.0,0.546,2420.0,0.54,4043.0,0.543,5045.0,0.539
116,Skyclave Geopede,R,U,9285.0,4.46,1972.0,5.81,6847.0,0.551,1373.0,0.57,1809.0,0.542,3011.0,0.554,3750.0,0.549
117,Merfolk Windrobber,U,U,9110.0,4.29,1639.0,5.85,5634.0,0.539,1106.0,0.587,1818.0,0.552,2754.0,0.565,2809.0,0.515
118,Grotag Night-Runner,R,U,9934.0,4.48,2084.0,5.89,8366.0,0.547,1496.0,0.547,2125.0,0.516,3461.0,0.528,4795.0,0.562
119,Grotag Bug-Catcher,R,C,29507.0,4.92,8708.0,5.93,26004.0,0.559,7329.0,0.596,9114.0,0.55,14459.0,0.57,11185.0,0.545
120,Paired Tactician,W,U,9597.0,4.51,1601.0,5.95,5765.0,0.547,1161.0,0.554,1565.0,0.53,2593.0,0.539,3108.0,0.555
121,Gnarlid Colony,G,C,27423.0,4.5,5172.0,5.96,16548.0,0.512,4109.0,0.506,5939.0,0.528,8921.0,0.52,7380.0,0.502
122,Taunting Arbormage,G,U,10116.0,4.6,2067.0,6.05,7525.0,0.516,1385.0,0.488,2240.0,0.533,3497.0,0.517,3917.0,0.515
123,Expedition Diviner,U,C,28389.0,4.6,6797.0,6.09,22487.0,0.525,5175.0,0.508,8682.0,0.541,12490.0,0.53,9701.0,0.52
124,Demon's Disciple,B,U,9741.0,4.38,1619.0,6.1,6122.0,0.539,1121.0,0.561,1821.0,0.553,2759.0,0.555,3285.0,0.527
125,Territorial Scythecat,G,C,26054.0,4.34,3199.0,6.26,10223.0,0.513,2362.0,0.536,3334.0,0.515,5184.0,0.522,4912.0,0.504
126,Pelakka Predation,B,U,12049.0,4.63,2299.0,6.32,10538.0,0.533,1945.0,0.507,2771.0,0.527,4601.0,0.518,5842.0,0.545
127,Kitesail Cleric,W,U,10078.0,4.63,1632.0,6.39,6250.0,0.546,1127.0,0.571,1713.0,0.513,2755.0,0.534,3411.0,0.555
128,Marauding Blight-Priest,B,C,28740.0,4.87,5615.0,6.39,15753.0,0.54,3976.0,0.534,5823.0,0.548,8586.0,0.544,6920.0,0.534
129,Spoils of Adventure,WU,U,10456.0,5.05,2109.0,6.49,4996.0,0.54,995.0,0.559,1795.0,0.578,2566.0,0.567,2360.0,0.511
130,Zof Consumption,B,U,12703.0,4.84,2660.0,6.55,12123.0,0.548,2306.0,0.532,3242.0,0.536,5345.0,0.534,6620.0,0.56
131,Ghastly Gloomhunter,B,C,29170.0,4.64,4926.0,6.58,17312.0,0.537,3846.0,0.529,5674.0,0.539,8663.0,0.537,8401.0,0.536
132,Jwari Disruption,U,U,12227.0,4.85,2354.0,6.6,10532.0,0.528,1969.0,0.526,3070.0,0.535,4939.0,0.53,5443.0,0.526
133,Murasa Rootgrazer,WG,U,9564.0,4.81,1205.0,6.67,2529.0,0.54,553.0,0.584,761.0,0.548,1221.0,0.566,1272.0,0.514
134,Makindi Stampede,W,U,12086.0,4.9,2252.0,6.71,9972.0,0.537,1848.0,0.488,2600.0,0.516,4252.0,0.507,5595.0,0.558
135,Canyon Jerboa,W,U,9757.0,4.71,1154.0,6.74,3005.0,0.505,556.0,0.455,767.0,0.499,1275.0,0.479,1673.0,0.523
136,Song-Mad Treachery,R,U,12122.0,4.81,2392.0,6.74,10933.0,0.544,1996.0,0.545,2936.0,0.52,4648.0,0.528,6115.0,0.557
137,Fireblade Charger,R,U,10855.0,5.05,2030.0,6.77,6750.0,0.555,1318.0,0.57,1644.0,0.54,2852.0,0.554,3818.0,0.555
138,Expedition Healer,W,C,30547.0,4.97,5308.0,6.78,17038.0,0.546,4181.0,0.562,5716.0,0.549,8885.0,0.555,7951.0,0.535
139,Moss-Pit Skeleton,BG,U,9897.0,4.97,1394.0,6.8,3272.0,0.507,728.0,0.508,1265.0,0.532,1644.0,0.517,1588.0,0.495
140,Iridescent Hornbeetle,G,U,10055.0,4.81,1289.0,6.83,3120.0,0.49,546.0,0.485,912.0,0.477,1375.0,0.492,1700.0,0.486
141,Joraga Visionary,G,C,30342.0,4.99,4582.0,6.91,14804.0,0.529,3299.0,0.539,4930.0,0.542,7501.0,0.541,7081.0,0.516
142,Nimana Skydancer,B,C,30216.0,4.94,5052.0,7.0,17402.0,0.539,3827.0,0.537,5646.0,0.541,8691.0,0.539,8506.0,0.539
143,Vastwood Fortification,G,U,12173.0,4.94,1809.0,7.05,7568.0,0.523,1496.0,0.539,2244.0,0.539,3507.0,0.537,3979.0,0.512
144,Field Research,U,C,31815.0,5.32,7055.0,7.07,25387.0,0.531,5278.0,0.533,8707.0,0.562,12839.0,0.549,12183.0,0.514
145,Ardent Electromancer,R,C,33147.0,5.61,8250.0,7.18,25904.0,0.556,6407.0,0.579,8454.0,0.549,13479.0,0.562,12036.0,0.551
146,Expedition Skulker,B,C,32018.0,5.24,5667.0,7.19,18827.0,0.548,4482.0,0.555,6187.0,0.546,9593.0,0.551,8990.0,0.544
147,Beyeen Veil,U,U,13474.0,5.33,2859.0,7.21,12706.0,0.521,2441.0,0.512,3888.0,0.531,6139.0,0.523,6385.0,0.521
148,Silundi Vision,U,U,13130.0,5.3,2636.0,7.31,11242.0,0.521,2109.0,0.506,3397.0,0.534,5330.0,0.524,5779.0,0.518
149,Canopy Baloth,G,C,30410.0,5.1,3821.0,7.35,10977.0,0.516,2381.0,0.542,3577.0,0.519,5469.0,0.528,5356.0,0.504
150,Subtle Strike,B,C,31808.0,5.21,5292.0,7.35,18118.0,0.544,3541.0,0.555,5195.0,0.56,8339.0,0.557,9549.0,0.533
151,Skyclave Plunder,U,U,11530.0,5.35,1965.0,7.43,5864.0,0.523,964.0,0.523,1708.0,0.556,2603.0,0.541,3182.0,0.509
152,Blood Beckoning,B,C,32988.0,5.51,6738.0,7.44,24222.0,0.539,4394.0,0.505,7186.0,0.54,11125.0,0.528,12838.0,0.548
153,Brushfire Elemental,RG,U,9885.0,5.18,1164.0,7.52,2328.0,0.531,516.0,0.589,651.0,0.53,1087.0,0.553,1201.0,0.512
154,Expedition Champion,R,C,32537.0,5.64,6279.0,7.56,18688.0,0.556,4661.0,0.578,5853.0,0.527,9474.0,0.549,8945.0,0.563
155,Skyclave Shadowcat,B,U,10661.0,4.99,1344.0,7.61,3236.0,0.499,606.0,0.52,909.0,0.475,1415.0,0.497,1789.0,0.503
156,Seafloor Stalker,U,C,33001.0,5.64,6585.0,7.67,20145.0,0.528,4364.0,0.542,7388.0,0.554,10782.0,0.547,9090.0,0.507
157,Prowling Felidar,W,C,29590.0,5.05,3099.0,7.71,7279.0,0.511,1551.0,0.513,2261.0,0.49,3505.0,0.503,3638.0,0.519
158,Reclaim the Wastes,G,C,33489.0,5.8,5269.0,7.91,14999.0,0.505,3376.0,0.497,4992.0,0.507,7679.0,0.501,7095.0,0.507
159,Cinderclasm,R,U,11469.0,5.59,1757.0,7.93,3419.0,0.532,642.0,0.519,1030.0,0.543,1625.0,0.535,1760.0,0.53
160,Ravager's Mace,BR,U,12324.0,6.15,2285.0,8.03,5577.0,0.55,1025.0,0.517,1415.0,0.532,2359.0,0.528,3145.0,0.567
161,Synchronized Spellcraft,R,C,32982.0,5.66,5192.0,8.06,15917.0,0.543,2898.0,0.534,4650.0,0.529,7198.0,0.531,8475.0,0.555
162,Fissure Wizard,R,C,35253.0,6.15,6990.0,8.19,22184.0,0.547,5067.0,0.55,6716.0,0.533,10893.0,0.542,10920.0,0.553
163,Risen Riptide,U,C,34452.0,6.23,6128.0,8.45,12802.0,0.52,3189.0,0.507,5002.0,0.537,7285.0,0.527,5366.0,0.512
164,Tajuru Blightblade,G,C,33058.0,5.69,3613.0,8.57,10877.0,0.519,2198.0,0.545,3323.0,0.519,5179.0,0.531,5582.0,0.508
165,Tazeem Raptor,W,C,34666.0,5.92,4649.0,8.58,11184.0,0.53,2337.0,0.496,3268.0,0.523,5235.0,0.51,5776.0,0.547
166,Zulaport Duelist,U,C,34040.0,6.04,5419.0,8.61,14333.0,0.542,3123.0,0.542,4896.0,0.578,7427.0,0.561,6666.0,0.524
167,Angelheart Protector,W,C,34738.0,6.03,4982.0,8.61,13544.0,0.537,2795.0,0.514,4051.0,0.527,6422.0,0.525,6953.0,0.547
168,Mind Drain,B,C,34974.0,6.12,5488.0,8.63,15880.0,0.546,2901.0,0.543,4426.0,0.566,7121.0,0.557,8581.0,0.539
169,Skyclave Pick-Axe,G,U,11466.0,5.63,1103.0,8.68,2198.0,0.485,402.0,0.445,543.0,0.451,919.0,0.449,1257.0,0.51
170,Glacial Grasp,U,C,35548.0,6.15,5756.0,8.76,13419.0,0.53,2684.0,0.506,4675.0,0.551,6844.0,0.536,6375.0,0.524
171,Practiced Tactics,W,C,35465.0,6.31,5484.0,8.77,14091.0,0.547,2814.0,0.548,4415.0,0.553,6821.0,0.55,7102.0,0.544
172,Cliffhaven Sell-Sword,W,C,35648.0,6.31,5801.0,8.81,16745.0,0.55,3797.0,0.567,5143.0,0.519,8288.0,0.541,8225.0,0.56
173,Farsight Adept,W,C,35415.0,6.18,5053.0,8.84,13166.0,0.542,2698.0,0.54,3854.0,0.53,6096.0,0.536,6915.0,0.548
174,Kazandu Stomper,G,C,35073.0,6.22,4542.0,8.91,13069.0,0.509,2320.0,0.5,4096.0,0.515,6122.0,0.511,6807.0,0.508
175,Springmantle Cleric,G,U,12054.0,5.92,1428.0,8.93,2725.0,0.486,474.0,0.487,853.0,0.508,1251.0,0.508,1424.0,0.464
176,Mind Carver,B,U,12126.0,6.06,1399.0,8.99,2279.0,0.538,371.0,0.488,654.0,0.528,1003.0,0.517,1236.0,0.556
177,Sea Gate Banneret,W,C,35589.0,6.3,4893.0,9.07,14908.0,0.553,2852.0,0.571,4017.0,0.55,6633.0,0.559,8067.0,0.548
178,Nimana Skitter-Sneak,B,C,36371.0,6.41,5456.0,9.1,13959.0,0.537,2839.0,0.515,4620.0,0.534,6776.0,0.53,7020.0,0.545
179,Dauntless Survivor,G,C,34981.0,6.13,3622.0,9.17,8605.0,0.507,1928.0,0.503,2729.0,0.5,4355.0,0.504,4153.0,0.51
180,Kabira Outrider,W,C,36378.0,6.5,5273.0,9.2,13760.0,0.548,2559.0,0.528,4137.0,0.549,6358.0,0.544,7214.0,0.551
181,Pyroclastic Hellion,R,C,37028.0,6.67,6416.0,9.29,17363.0,0.549,3073.0,0.548,5036.0,0.551,7673.0,0.554,9366.0,0.546
182,Skyclave Squid,U,C,37709.0,6.87,7405.0,9.29,16927.0,0.531,3871.0,0.559,5850.0,0.527,8939.0,0.539,7751.0,0.523
183,Teeterpeak Ambusher,R,C,36817.0,6.83,5966.0,9.44,15389.0,0.548,3328.0,0.538,4292.0,0.531,7147.0,0.536,8044.0,0.559
184,Allied Assault,W,U,13196.0,6.65,1720.0,9.52,2859.0,0.549,486.0,0.541,786.0,0.518,1246.0,0.531,1583.0,0.565
185,Turntimber Ascetic,G,C,36816.0,6.58,4453.0,9.56,10267.0,0.524,1862.0,0.519,3220.0,0.544,4832.0,0.536,5276.0,0.514
186,Chilling Trap,U,C,38427.0,7.34,7177.0,9.81,12678.0,0.523,2852.0,0.538,5127.0,0.554,7184.0,0.547,5312.0,0.492
187,Cascade Seer,U,C,37250.0,6.84,5459.0,9.82,9737.0,0.511,1735.0,0.494,3290.0,0.531,4786.0,0.517,4804.0,0.506
188,Scorch Rider,R,C,37522.0,7.01,5562.0,9.89,12147.0,0.545,2339.0,0.535,3401.0,0.527,5393.0,0.533,6576.0,0.557
189,Shell Shield,U,C,38025.0,7.14,5712.0,10.09,10067.0,0.515,1776.0,0.497,3360.0,0.53,4939.0,0.52,4981.0,0.509
190,Might of Murasa,G,C,37405.0,7.0,4296.0,10.18,8315.0,0.519,1449.0,0.533,2666.0,0.544,3914.0,0.538,4226.0,0.504
191,Sneaking Guide,R,C,38594.0,7.78,7069.0,10.24,16724.0,0.56,3392.0,0.58,4410.0,0.526,7511.0,0.551,9003.0,0.568
192,Molten Blast,R,C,37345.0,7.05,5112.0,10.26,7841.0,0.528,1364.0,0.521,2173.0,0.508,3442.0,0.514,4260.0,0.542
193,Cleric of Chill Depths,U,C,37819.0,7.06,4868.0,10.36,7243.0,0.495,1413.0,0.493,2333.0,0.493,3588.0,0.494,3566.0,0.497
194,Anticognition,U,C,36935.0,6.98,4646.0,10.37,6474.0,0.531,1292.0,0.546,2017.0,0.541,3152.0,0.543,3213.0,0.519
195,Kazandu Nectarpot,G,C,37149.0,7.13,4026.0,10.41,6399.0,0.505,1316.0,0.504,1980.0,0.504,3126.0,0.503,3172.0,0.506
196,Drana's Silencer,B,C,38615.0,7.2,4896.0,10.46,6300.0,0.526,977.0,0.464,1812.0,0.514,2721.0,0.498,3513.0,0.548
197,Dreadwurm,B,C,37447.0,7.13,4300.0,10.58,5569.0,0.508,919.0,0.514,1654.0,0.505,2452.0,0.512,3061.0,0.507
198,Hagra Constrictor,B,C,37280.0,7.06,3825.0,10.6,3979.0,0.489,844.0,0.453,1255.0,0.469,1937.0,0.463,1986.0,0.513
199,Spitfire Lagac,R,C,37262.0,7.23,4627.0,10.65,5546.0,0.525,1087.0,0.546,1690.0,0.504,2592.0,0.522,2887.0,0.531
200,Smite the Monstrous,W,C,36506.0,6.79,2958.0,10.67,3164.0,0.504,498.0,0.49,834.0,0.514,1312.0,0.507,1772.0,0.5
201,Blood Price,B,C,38718.0,7.43,5084.0,10.69,7210.0,0.523,1191.0,0.511,1852.0,0.51,3006.0,0.511,4105.0,0.532
202,Scale the Heights,G,C,35938.0,6.81,2945.0,10.75,3893.0,0.512,744.0,0.508,1039.0,0.522,1724.0,0.517,2081.0,0.506
203,Inordinate Rage,R,C,38441.0,7.71,5667.0,10.79,10013.0,0.544,1740.0,0.521,2590.0,0.519,4214.0,0.521,5652.0,0.561
204,Murasa Brute,G,C,38013.0,7.4,4243.0,10.8,5828.0,0.518,1201.0,0.515,1719.0,0.516,2737.0,0.519,3036.0,0.517
205,Living Tempest,U,C,38603.0,7.4,4804.0,10.82,4713.0,0.514,765.0,0.499,1504.0,0.515,2182.0,0.511,2464.0,0.518
206,Deliberate,U,C,38408.0,7.43,4695.0,10.87,4787.0,0.502,922.0,0.507,1506.0,0.502,2326.0,0.506,2393.0,0.501
207,Highborn Vampire,B,C,39545.0,7.76,5291.0,11.04,6157.0,0.527,1104.0,0.485,1814.0,0.512,2739.0,0.505,3344.0,0.545
208,Dauntless Unity,W,C,38826.0,7.62,4369.0,11.09,4089.0,0.522,640.0,0.489,1069.0,0.522,1675.0,0.512,2325.0,0.532
209,Makindi Ox,W,C,38196.0,7.43,4042.0,11.1,3373.0,0.497,552.0,0.502,933.0,0.475,1413.0,0.484,1902.0,0.505
210,Resolute Strike,W,C,39073.0,7.82,4696.0,11.15,6005.0,0.558,1020.0,0.546,1496.0,0.535,2458.0,0.542,3432.0,0.568
211,Scavenged Blade,R,C,38051.0,7.74,4486.0,11.19,5438.0,0.542,982.0,0.529,1342.0,0.499,2248.0,0.512,3099.0,0.564
212,Akoum Hellhound,R,C,36365.0,7.38,3544.0,11.25,2411.0,0.5,613.0,0.56,761.0,0.43,1241.0,0.487,1142.0,0.518
213,Guul Draz Mucklord,B,C,38094.0,7.51,3743.0,11.41,2627.0,0.49,540.0,0.45,715.0,0.488,1189.0,0.468,1394.0,0.507
214,Oblivion's Hunger,B,C,39004.0,7.93,4111.0,11.69,2370.0,0.496,412.0,0.466,682.0,0.506,1054.0,0.49,1277.0,0.5
215,Nissa's Zendikon,G,C,38441.0,7.93,3835.0,11.7,2518.0,0.477,461.0,0.449,733.0,0.487,1155.0,0.477,1338.0,0.477
216,Mesa Lynx,W,C,39482.0,8.21,4598.0,11.73,2715.0,0.507,538.0,0.502,725.0,0.477,1201.0,0.494,1436.0,0.517
217,Sizzling Barrage,R,C,38711.0,8.15,4370.0,11.75,2633.0,0.515,467.0,0.454,726.0,0.494,1152.0,0.484,1447.0,0.538
218,Tajuru Snarecaster,G,C,39760.0,8.1,4223.0,11.75,3499.0,0.508,666.0,0.485,1020.0,0.489,1607.0,0.485,1844.0,0.528
219,Cleansing Wildfire,R,C,39324.0,8.48,4945.0,11.91,2726.0,0.495,571.0,0.473,745.0,0.511,1260.0,0.492,1442.0,0.501
220,Broken Wings,G,C,39401.0,8.11,3975.0,11.93,2777.0,0.496,434.0,0.461,778.0,0.515,1185.0,0.497,1543.0,0.496
221,Tormenting Voice,R,C,39656.0,8.5,5076.0,11.97,3159.0,0.504,574.0,0.458,852.0,0.464,1396.0,0.459,1715.0,0.543
